,callDateTime,priority,district,description,callNumber,incidentLocation,location
71,5/7/2016 11:03,Medium,SE,911/NO  VOICE,P161281037,700 S EXETER ST,"(39.2832525,-76.6001812)"
72,5/7/2016 11:01,Medium,NW,SUSPICIOUS PERS,P161281038,PIMLICO RD/DUPONT AV,"(39.343880,-76.667756)"
73,5/7/2016 10:49,Medium,NW,NARCOTICSOutside,P161281039,5400 CRISMER AV,"(39.3462410,-76.6898783)"
74,5/5/2015 18:10,Low,ED,Transport,P151252235,H0,"(38.1877274,-76.4306578)"
75,7/13/2015 11:07,Low,NW,INV,P151941073,4000 WOODHAVEN AV,"(39.3210930,-76.6836240)"
76,7/13/2015 11:07,High,SD,AGGRAV ASSAULT,P151941074,2600 SPELMAN RD,"(39.2485699,-76.6292808)"
77,7/13/2015 11:07,Medium,SW,NARCOTICSOutside,P151941075,S SMALLWOOD ST/W PRATT ST,"(39.284957,-76.651306)"
78,7/13/2015 11:12,Medium,CD,911/NO  VOICE,P151941076,1700 EUTAW PL,"(39.3068760,-76.6304080)"
79,7/13/2015 11:10,Medium,SW,MISSING PERSON,P151941077,1500 DESOTO RD,"(39.2673110,-76.6586680)"
80,7/13/2015 11:12,Medium,CD,DISORDERLY,P151941078,S PRESIDENT ST/E LOMBARD ST,"(39.288203,-76.604966)"
81,7/13/2015 11:10,Low,NE,RECOVERED VEH,P151941079,1700 E 30TH ST,"(39.3255630,-76.5918200)"
82,7/13/2015 11:13,Low,CW,OTHER,P151941080,500 ROSE HILL TE,"(39.2903848,-76.6121893)"
83,7/13/2015 11:11,Medium,WD,911/NO  VOICE,P151941081,600 CUMBERLAND ST,"(39.3093283,-76.6416623)"
84,7/13/2015 11:09,Medium,NE,DISORDERLY,P151941082,3500 ELMORA AV,"(39.3159950,-76.5723010)"
85,7/13/2015 11:13,Medium,ED,911/NO  VOICE,P151941083,1600 E CHASE ST,"(39.3033370,-76.5963690)"
86,7/13/2015 11:14,Medium,WD,NARCOTICSOutside,P151941085,200 N MONROE ST,"(39.2906620,-76.6473290)"
87,7/13/2015 11:14,Medium,SE,BURGLARY,P151941086,3800 CLAREMONT ST,"(39.2897152,-76.5648428)"
88,7/13/2015 11:12,Medium,SE,NARCOTICS INSIDE,P151941087,EASTERN AV/KANE ST,"(39.287755,-76.537100)"
89,7/13/2015 11:11,Medium,SW,DISORDERLY,P151941088,1700 POPLAR GROVE ST,"(39.3073200,-76.6659240)"
90,7/13/2015 11:14,Medium,ND,911/NO  VOICE,P151941089,2400 W BELVEDERE AV,"(39.3549016,-76.6622292)"
91,7/13/2015 13:21,Low,SE,AUTO ACCIDENT,P151941504,1600 THAMES ST,"(39.2811520,-76.5948677)"
92,7/13/2015 13:25,Medium,WD,911/NO  VOICE,P151941505,800 N ARLINGTON AV,"(39.2979694,-76.6358250)"
93,7/13/2015 13:27,Medium,ND,UNFOUNDED,P151941506,2300 N CHARLES ST,"(39.3154020,-76.6172200)"
94,7/13/2015 13:25,Medium,ED,911/NO  VOICE,P151941507,600 N WOLFE ST,"(39.2972451,-76.5922121)"
95,7/13/2015 13:24,Low,SD,UNKNOWN TROUBLE,P151941508,1600 WICOMICO ST,"(39.2744811,-76.6355730)"
96,7/13/2015 13:25,Medium,SD,911/NO  VOICE,P151941509,1900 LIGHT ST,"(39.2683330,-76.6122649)"
97,7/13/2015 13:26,Low,SE,AUTO ACCIDENT,P151941510,1600 THAMES ST,"(39.2811520,-76.5948677)"
98,7/13/2015 13:27,Low,ED,INVESTIGATE,P151941511,500 N MADEIRA ST,"(39.2966104,-76.5857710)"
99,7/13/2015 13:26,Medium,SW,DISORDERLY,P151941513,3100 W NORTH AV,"(39.3093340,-76.6695320)"
100,7/13/2015 13:26,Medium,CD,911/NO  VOICE,P151941514,200 N CALVERT ST,"(39.2912379,-76.6124711)"
101,7/13/2015 13:27,Medium,ED,LARCENCY,P151941515,600 FALLSWAY,"(39.2962616,-76.6099423)"
102,7/13/2015 13:27,Medium,SD,BURGLARY,P151941516,3600 6TH ST,"(39.2362482,-76.6023611)"
103,7/13/2015 13:29,Medium,SW,BURGLARY,P151941517,3000 W NORTH AV,"(39.3093320,-76.6677120)"
104,7/13/2015 13:29,Low,CD,INVESTIGAGTE,P151941518,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
105,7/13/2015 13:30,Non-Emergency,WD,TOWED VEHICLE,P151941519,3000 W LANVALE ST,"(39.2971815,-76.6672415)"
106,7/13/2015 13:30,Low,ED,INVESTIGATE,P151941520,2600 MURA ST,"(39.3054782,-76.5808770)"
107,4/27/2015 11:13,,SW,BURGLARY,P151170971,100 S CULVER ST,"(39.2851810,-76.6786740)"
108,4/27/2015 11:16,Medium,SE,911/NO  VOICE,P151170972,2100 BOSTON ST,"(39.2846619,-76.5866615)"
109,4/27/2015 11:13,Medium,CD,HIT AND RUN,P151170973,N PACA ST/W BALTIMORE ST,"(39.289257,-76.622272)"
110,4/27/2015 11:21,Low,SW,Transport,P151170975,200,"(39.2912369,-76.6124710)"
111,4/27/2015 11:21,Medium,CD,BURGLARY,P151170976,1800 DIVISION ST,"(39.3051017,-76.6347725)"
112,4/27/2015 11:21,Low,SD,OTHER,P151170977,1600 COLE ST,"(39.2823533,-76.6423985)"
113,7/13/2015 11:06,Medium,SD,MISSING PERSON,P151941090,800 GLADE CT,"(39.2297497,-76.6009878)"
114,7/13/2015 11:15,Medium,SW,BURGLARY,P151941092,3700 CRANSTON AV,"(39.2966900,-76.6790120)"
